test dataset: (100000, 2) 

1000 tensor(0.0350, device='cuda:0', grad_fn=<AddBackward0>)
2000 tensor(0.0142, device='cuda:0', grad_fn=<AddBackward0>)
3000 tensor(0.0087, device='cuda:0', grad_fn=<AddBackward0>)
4000 tensor(0.1037, device='cuda:0', grad_fn=<AddBackward0>)
5000 tensor(0.0073, device='cuda:0', grad_fn=<AddBackward0>)
6000 tensor(0.0049, device='cuda:0', grad_fn=<AddBackward0>)
7000 tensor(0.0052, device='cuda:0', grad_fn=<AddBackward0>)
8000 tensor(0.0045, device='cuda:0', grad_fn=<AddBackward0>)
9000 tensor(0.0059, device='cuda:0', grad_fn=<AddBackward0>)
10000 tensor(0.0049, device='cuda:0', grad_fn=<AddBackward0>)
11000 tensor(0.0041, device='cuda:0', grad_fn=<AddBackward0>)
12000 tensor(0.0049, device='cuda:0', grad_fn=<AddBackward0>)
13000 tensor(0.0041, device='cuda:0', grad_fn=<AddBackward0>)
14000 tensor(0.0042, device='cuda:0', grad_fn=<AddBackward0>)
15000 tensor(0.0039, device='cuda:0', grad_fn=<AddBackward0>)
16000 tensor(0.0040, device='cuda:0', grad_fn=<AddBackward0>)
17000 tensor(0.0038, device='cuda:0', grad_fn=<AddBackward0>)
18000 tensor(0.0037, device='cuda:0', grad_fn=<AddBackward0>)
19000 tensor(0.0034, device='cuda:0', grad_fn=<AddBackward0>)
20000 tensor(0.0030, device='cuda:0', grad_fn=<AddBackward0>)
21000 tensor(0.0038, device='cuda:0', grad_fn=<AddBackward0>)
22000 tensor(0.0034, device='cuda:0', grad_fn=<AddBackward0>)
23000 tensor(0.0031, device='cuda:0', grad_fn=<AddBackward0>)
24000 tensor(0.0024, device='cuda:0', grad_fn=<AddBackward0>)
25000 tensor(0.0005, device='cuda:0', grad_fn=<AddBackward0>)
26000 tensor(0.0002, device='cuda:0', grad_fn=<AddBackward0>)
27000 tensor(0.0016, device='cuda:0', grad_fn=<AddBackward0>)
28000 tensor(0.0036, device='cuda:0', grad_fn=<AddBackward0>)
29000 tensor(0.0035, device='cuda:0', grad_fn=<AddBackward0>)
30000 tensor(0.0005, device='cuda:0', grad_fn=<AddBackward0>)
31000 tensor(0.0001, device='cuda:0', grad_fn=<AddBackward0>)
32000 tensor(3.9738e-05, device='cuda:0', grad_fn=<AddBackward0>)
33000 tensor(3.9559e-05, device='cuda:0', grad_fn=<AddBackward0>)
34000 tensor(9.4993e-05, device='cuda:0', grad_fn=<AddBackward0>)
35000 tensor(0.0001, device='cuda:0', grad_fn=<AddBackward0>)
36000 tensor(0.0029, device='cuda:0', grad_fn=<AddBackward0>)
37000 tensor(6.7982e-05, device='cuda:0', grad_fn=<AddBackward0>)
38000 tensor(0.0001, device='cuda:0', grad_fn=<AddBackward0>)
39000 tensor(0.0001, device='cuda:0', grad_fn=<AddBackward0>)
40000 tensor(0.0002, device='cuda:0', grad_fn=<AddBackward0>)
41000 tensor(7.2456e-05, device='cuda:0', grad_fn=<AddBackward0>)
42000 tensor(5.9666e-05, device='cuda:0', grad_fn=<AddBackward0>)
43000 tensor(2.0397e-05, device='cuda:0', grad_fn=<AddBackward0>)
44000 tensor(6.7479e-05, device='cuda:0', grad_fn=<AddBackward0>)
45000 tensor(3.8100e-05, device='cuda:0', grad_fn=<AddBackward0>)
46000 tensor(3.5148e-05, device='cuda:0', grad_fn=<AddBackward0>)
47000 tensor(0.0002, device='cuda:0', grad_fn=<AddBackward0>)
48000 tensor(0.0003, device='cuda:0', grad_fn=<AddBackward0>)
49000 tensor(2.1600e-05, device='cuda:0', grad_fn=<AddBackward0>)
50000 tensor(0.0207, device='cuda:0', grad_fn=<AddBackward0>)
51000 tensor(4.0734e-05, device='cuda:0', grad_fn=<AddBackward0>)
52000 tensor(1.5297e-05, device='cuda:0', grad_fn=<AddBackward0>)
53000 tensor(1.2279e-05, device='cuda:0', grad_fn=<AddBackward0>)
54000 tensor(7.0882e-05, device='cuda:0', grad_fn=<AddBackward0>)
55000 tensor(5.2533e-05, device='cuda:0', grad_fn=<AddBackward0>)
56000 tensor(0.0005, device='cuda:0', grad_fn=<AddBackward0>)
57000 tensor(3.2995e-05, device='cuda:0', grad_fn=<AddBackward0>)
58000 tensor(4.1442e-05, device='cuda:0', grad_fn=<AddBackward0>)
59000 tensor(1.1600e-05, device='cuda:0', grad_fn=<AddBackward0>)
60000 tensor(7.1059e-06, device='cuda:0', grad_fn=<AddBackward0>)
61000 tensor(3.9262e-05, device='cuda:0', grad_fn=<AddBackward0>)
62000 tensor(3.2567e-05, device='cuda:0', grad_fn=<AddBackward0>)
63000 tensor(1.7814e-05, device='cuda:0', grad_fn=<AddBackward0>)
