test dataset: (100000, 2) 

1000 tensor(0.4749, device='cuda:0', grad_fn=<AddBackward0>)
2000 tensor(0.4736, device='cuda:0', grad_fn=<AddBackward0>)
3000 tensor(0.4732, device='cuda:0', grad_fn=<AddBackward0>)
4000 tensor(0.4729, device='cuda:0', grad_fn=<AddBackward0>)
5000 tensor(0.4719, device='cuda:0', grad_fn=<AddBackward0>)
6000 tensor(0.4698, device='cuda:0', grad_fn=<AddBackward0>)
7000 tensor(0.4758, device='cuda:0', grad_fn=<AddBackward0>)
8000 tensor(0.4733, device='cuda:0', grad_fn=<AddBackward0>)
9000 tensor(0.4720, device='cuda:0', grad_fn=<AddBackward0>)
10000 tensor(0.4716, device='cuda:0', grad_fn=<AddBackward0>)
11000 tensor(0.4694, device='cuda:0', grad_fn=<AddBackward0>)
12000 tensor(0.6641, device='cuda:0', grad_fn=<AddBackward0>)
13000 tensor(0.4740, device='cuda:0', grad_fn=<AddBackward0>)
14000 tensor(0.4733, device='cuda:0', grad_fn=<AddBackward0>)
15000 tensor(0.4730, device='cuda:0', grad_fn=<AddBackward0>)
16000 tensor(0.4723, device='cuda:0', grad_fn=<AddBackward0>)
17000 tensor(0.4705, device='cuda:0', grad_fn=<AddBackward0>)
18000 tensor(0.3839, device='cuda:0', grad_fn=<AddBackward0>)
19000 tensor(0.3315, device='cuda:0', grad_fn=<AddBackward0>)
20000 tensor(0.0852, device='cuda:0', grad_fn=<AddBackward0>)
21000 tensor(0.0869, device='cuda:0', grad_fn=<AddBackward0>)
22000 tensor(0.1161, device='cuda:0', grad_fn=<AddBackward0>)
23000 tensor(0.0823, device='cuda:0', grad_fn=<AddBackward0>)
24000 tensor(0.0804, device='cuda:0', grad_fn=<AddBackward0>)
25000 tensor(0.2656, device='cuda:0', grad_fn=<AddBackward0>)
26000 tensor(0.2078, device='cuda:0', grad_fn=<AddBackward0>)
27000 tensor(0.0945, device='cuda:0', grad_fn=<AddBackward0>)
28000 tensor(0.0851, device='cuda:0', grad_fn=<AddBackward0>)
29000 tensor(0.0838, device='cuda:0', grad_fn=<AddBackward0>)
30000 tensor(0.0830, device='cuda:0', grad_fn=<AddBackward0>)
31000 tensor(0.0833, device='cuda:0', grad_fn=<AddBackward0>)
32000 tensor(0.0830, device='cuda:0', grad_fn=<AddBackward0>)
33000 tensor(0.0824, device='cuda:0', grad_fn=<AddBackward0>)
34000 tensor(0.0816, device='cuda:0', grad_fn=<AddBackward0>)
35000 tensor(0.2444, device='cuda:0', grad_fn=<AddBackward0>)
36000 tensor(0.1686, device='cuda:0', grad_fn=<AddBackward0>)
37000 tensor(0.0909, device='cuda:0', grad_fn=<AddBackward0>)
38000 tensor(0.0832, device='cuda:0', grad_fn=<AddBackward0>)
39000 tensor(0.1140, device='cuda:0', grad_fn=<AddBackward0>)
40000 tensor(0.0889, device='cuda:0', grad_fn=<AddBackward0>)
41000 tensor(0.0827, device='cuda:0', grad_fn=<AddBackward0>)
42000 tensor(0.0823, device='cuda:0', grad_fn=<AddBackward0>)
43000 tensor(0.0819, device='cuda:0', grad_fn=<AddBackward0>)
44000 tensor(0.0815, device='cuda:0', grad_fn=<AddBackward0>)
45000 tensor(0.0802, device='cuda:0', grad_fn=<AddBackward0>)
46000 tensor(0.0806, device='cuda:0', grad_fn=<AddBackward0>)
47000 tensor(0.0820, device='cuda:0', grad_fn=<AddBackward0>)
48000 tensor(0.0785, device='cuda:0', grad_fn=<AddBackward0>)
49000 tensor(0.0793, device='cuda:0', grad_fn=<AddBackward0>)
50000 tensor(0.0754, device='cuda:0', grad_fn=<AddBackward0>)
51000 tensor(0.0734, device='cuda:0', grad_fn=<AddBackward0>)
52000 tensor(0.0640, device='cuda:0', grad_fn=<AddBackward0>)
53000 tensor(0.0609, device='cuda:0', grad_fn=<AddBackward0>)
54000 tensor(0.0558, device='cuda:0', grad_fn=<AddBackward0>)
55000 tensor(0.0532, device='cuda:0', grad_fn=<AddBackward0>)
56000 tensor(0.0599, device='cuda:0', grad_fn=<AddBackward0>)
57000 tensor(0.0486, device='cuda:0', grad_fn=<AddBackward0>)
58000 tensor(0.0463, device='cuda:0', grad_fn=<AddBackward0>)
59000 tensor(0.0440, device='cuda:0', grad_fn=<AddBackward0>)
60000 tensor(0.0408, device='cuda:0', grad_fn=<AddBackward0>)
61000 tensor(0.0376, device='cuda:0', grad_fn=<AddBackward0>)
62000 tensor(0.0367, device='cuda:0', grad_fn=<AddBackward0>)
63000 tensor(0.0349, device='cuda:0', grad_fn=<AddBackward0>)
64000 tensor(0.0327, device='cuda:0', grad_fn=<AddBackward0>)
65000 tensor(0.0313, device='cuda:0', grad_fn=<AddBackward0>)
66000 tensor(0.0329, device='cuda:0', grad_fn=<AddBackward0>)
