test dataset: (100000, 2) 

1000 tensor(0.4522, device='cuda:0', grad_fn=<AddBackward0>)
2000 tensor(0.4512, device='cuda:0', grad_fn=<AddBackward0>)
3000 tensor(0.4511, device='cuda:0', grad_fn=<AddBackward0>)
4000 tensor(0.4499, device='cuda:0', grad_fn=<AddBackward0>)
5000 tensor(0.4699, device='cuda:0', grad_fn=<AddBackward0>)
6000 tensor(0.4559, device='cuda:0', grad_fn=<AddBackward0>)
7000 tensor(0.4509, device='cuda:0', grad_fn=<AddBackward0>)
8000 tensor(0.4501, device='cuda:0', grad_fn=<AddBackward0>)
9000 tensor(0.4494, device='cuda:0', grad_fn=<AddBackward0>)
10000 tensor(0.4490, device='cuda:0', grad_fn=<AddBackward0>)
11000 tensor(0.4477, device='cuda:0', grad_fn=<AddBackward0>)
12000 tensor(2.4490, device='cuda:0', grad_fn=<AddBackward0>)
13000 tensor(0.4493, device='cuda:0', grad_fn=<AddBackward0>)
14000 tensor(0.4491, device='cuda:0', grad_fn=<AddBackward0>)
15000 tensor(0.4462, device='cuda:0', grad_fn=<AddBackward0>)
16000 tensor(0.4536, device='cuda:0', grad_fn=<AddBackward0>)
17000 tensor(0.4508, device='cuda:0', grad_fn=<AddBackward0>)
18000 tensor(0.4502, device='cuda:0', grad_fn=<AddBackward0>)
19000 tensor(0.4480, device='cuda:0', grad_fn=<AddBackward0>)
20000 tensor(0.4505, device='cuda:0', grad_fn=<AddBackward0>)
21000 tensor(0.4541, device='cuda:0', grad_fn=<AddBackward0>)
22000 tensor(0.4496, device='cuda:0', grad_fn=<AddBackward0>)
23000 tensor(0.4480, device='cuda:0', grad_fn=<AddBackward0>)
24000 tensor(0.4557, device='cuda:0', grad_fn=<AddBackward0>)
25000 tensor(0.4501, device='cuda:0', grad_fn=<AddBackward0>)
26000 tensor(0.4493, device='cuda:0', grad_fn=<AddBackward0>)
27000 tensor(0.4480, device='cuda:0', grad_fn=<AddBackward0>)
28000 tensor(0.4495, device='cuda:0', grad_fn=<AddBackward0>)
29000 tensor(0.3612, device='cuda:0', grad_fn=<AddBackward0>)
30000 tensor(0.4428, device='cuda:0', grad_fn=<AddBackward0>)
31000 tensor(0.3043, device='cuda:0', grad_fn=<AddBackward0>)
32000 tensor(0.0809, device='cuda:0', grad_fn=<AddBackward0>)
33000 tensor(0.0800, device='cuda:0', grad_fn=<AddBackward0>)
34000 tensor(0.0756, device='cuda:0', grad_fn=<AddBackward0>)
35000 tensor(0.5192, device='cuda:0', grad_fn=<AddBackward0>)
36000 tensor(0.0770, device='cuda:0', grad_fn=<AddBackward0>)
37000 tensor(0.0739, device='cuda:0', grad_fn=<AddBackward0>)
38000 tensor(0.0730, device='cuda:0', grad_fn=<AddBackward0>)
39000 tensor(4.4494, device='cuda:0', grad_fn=<AddBackward0>)
40000 tensor(0.0888, device='cuda:0', grad_fn=<AddBackward0>)
41000 tensor(0.0759, device='cuda:0', grad_fn=<AddBackward0>)
42000 tensor(0.0725, device='cuda:0', grad_fn=<AddBackward0>)
43000 tensor(0.0682, device='cuda:0', grad_fn=<AddBackward0>)
44000 tensor(0.0609, device='cuda:0', grad_fn=<AddBackward0>)
45000 tensor(0.0576, device='cuda:0', grad_fn=<AddBackward0>)
46000 tensor(0.0532, device='cuda:0', grad_fn=<AddBackward0>)
47000 tensor(0.0528, device='cuda:0', grad_fn=<AddBackward0>)
48000 tensor(0.0491, device='cuda:0', grad_fn=<AddBackward0>)
49000 tensor(0.0477, device='cuda:0', grad_fn=<AddBackward0>)
50000 tensor(0.0416, device='cuda:0', grad_fn=<AddBackward0>)
51000 tensor(0.0377, device='cuda:0', grad_fn=<AddBackward0>)
52000 tensor(0.0367, device='cuda:0', grad_fn=<AddBackward0>)
53000 tensor(0.0300, device='cuda:0', grad_fn=<AddBackward0>)
54000 tensor(0.0278, device='cuda:0', grad_fn=<AddBackward0>)
55000 tensor(0.0252, device='cuda:0', grad_fn=<AddBackward0>)
56000 tensor(0.0222, device='cuda:0', grad_fn=<AddBackward0>)
57000 tensor(0.0218, device='cuda:0', grad_fn=<AddBackward0>)
58000 tensor(0.0202, device='cuda:0', grad_fn=<AddBackward0>)
59000 tensor(0.0247, device='cuda:0', grad_fn=<AddBackward0>)
60000 tensor(0.0188, device='cuda:0', grad_fn=<AddBackward0>)
61000 tensor(0.0153, device='cuda:0', grad_fn=<AddBackward0>)
62000 tensor(0.0142, device='cuda:0', grad_fn=<AddBackward0>)
63000 tensor(0.0148, device='cuda:0', grad_fn=<AddBackward0>)
64000 tensor(0.0139, device='cuda:0', grad_fn=<AddBackward0>)
65000 tensor(0.0129, device='cuda:0', grad_fn=<AddBackward0>)
66000 tensor(0.0105, device='cuda:0', grad_fn=<AddBackward0>)
67000 tensor(0.0111, device='cuda:0', grad_fn=<AddBackward0>)
68000 tensor(0.0107, device='cuda:0', grad_fn=<AddBackward0>)
69000 tensor(0.0076, device='cuda:0', grad_fn=<AddBackward0>)
70000 tensor(0.0100, device='cuda:0', grad_fn=<AddBackward0>)
71000 tensor(0.0243, device='cuda:0', grad_fn=<AddBackward0>)
