test dataset: (1048576, 2) 

1000 tensor(1.4357, device='cuda:0', grad_fn=<AddBackward0>)
2000 tensor(1.3917, device='cuda:0', grad_fn=<AddBackward0>)
3000 tensor(1.3488, device='cuda:0', grad_fn=<AddBackward0>)
4000 tensor(1.3183, device='cuda:0', grad_fn=<AddBackward0>)
5000 tensor(1.2915, device='cuda:0', grad_fn=<AddBackward0>)
6000 tensor(1.2679, device='cuda:0', grad_fn=<AddBackward0>)
7000 tensor(1.2802, device='cuda:0', grad_fn=<AddBackward0>)
8000 tensor(1.2512, device='cuda:0', grad_fn=<AddBackward0>)
9000 tensor(1.2456, device='cuda:0', grad_fn=<AddBackward0>)
10000 tensor(1.2817, device='cuda:0', grad_fn=<AddBackward0>)
11000 tensor(1.2584, device='cuda:0', grad_fn=<AddBackward0>)
12000 tensor(1.2494, device='cuda:0', grad_fn=<AddBackward0>)
13000 tensor(1.2545, device='cuda:0', grad_fn=<AddBackward0>)
14000 tensor(1.2366, device='cuda:0', grad_fn=<AddBackward0>)
15000 tensor(1.2501, device='cuda:0', grad_fn=<AddBackward0>)
16000 tensor(1.2215, device='cuda:0', grad_fn=<AddBackward0>)
17000 tensor(1.1577, device='cuda:0', grad_fn=<AddBackward0>)
18000 tensor(1.0478, device='cuda:0', grad_fn=<AddBackward0>)
19000 tensor(0.9979, device='cuda:0', grad_fn=<AddBackward0>)
20000 tensor(0.9472, device='cuda:0', grad_fn=<AddBackward0>)
21000 tensor(0.8903, device='cuda:0', grad_fn=<AddBackward0>)
22000 tensor(0.8711, device='cuda:0', grad_fn=<AddBackward0>)
23000 tensor(0.8472, device='cuda:0', grad_fn=<AddBackward0>)
24000 tensor(0.8159, device='cuda:0', grad_fn=<AddBackward0>)
25000 tensor(0.8046, device='cuda:0', grad_fn=<AddBackward0>)
26000 tensor(0.7787, device='cuda:0', grad_fn=<AddBackward0>)
27000 tensor(0.7660, device='cuda:0', grad_fn=<AddBackward0>)
28000 tensor(0.7429, device='cuda:0', grad_fn=<AddBackward0>)
29000 tensor(0.7201, device='cuda:0', grad_fn=<AddBackward0>)
30000 tensor(0.7109, device='cuda:0', grad_fn=<AddBackward0>)
31000 tensor(0.7086, device='cuda:0', grad_fn=<AddBackward0>)
32000 tensor(0.6755, device='cuda:0', grad_fn=<AddBackward0>)
33000 tensor(0.6591, device='cuda:0', grad_fn=<AddBackward0>)
34000 tensor(0.6336, device='cuda:0', grad_fn=<AddBackward0>)
35000 tensor(0.6226, device='cuda:0', grad_fn=<AddBackward0>)
36000 tensor(0.6016, device='cuda:0', grad_fn=<AddBackward0>)
37000 tensor(0.6056, device='cuda:0', grad_fn=<AddBackward0>)
38000 tensor(0.5800, device='cuda:0', grad_fn=<AddBackward0>)
39000 tensor(0.5684, device='cuda:0', grad_fn=<AddBackward0>)
40000 tensor(0.5635, device='cuda:0', grad_fn=<AddBackward0>)
41000 tensor(0.5705, device='cuda:0', grad_fn=<AddBackward0>)
42000 tensor(0.5329, device='cuda:0', grad_fn=<AddBackward0>)
43000 tensor(0.5282, device='cuda:0', grad_fn=<AddBackward0>)
44000 tensor(0.5085, device='cuda:0', grad_fn=<AddBackward0>)
45000 tensor(0.5417, device='cuda:0', grad_fn=<AddBackward0>)
46000 tensor(0.4804, device='cuda:0', grad_fn=<AddBackward0>)
47000 tensor(0.4584, device='cuda:0', grad_fn=<AddBackward0>)
48000 tensor(0.4543, device='cuda:0', grad_fn=<AddBackward0>)
49000 tensor(0.4448, device='cuda:0', grad_fn=<AddBackward0>)
50000 tensor(0.4669, device='cuda:0', grad_fn=<AddBackward0>)
51000 tensor(0.4709, device='cuda:0', grad_fn=<AddBackward0>)
52000 tensor(0.4222, device='cuda:0', grad_fn=<AddBackward0>)
53000 tensor(0.3947, device='cuda:0', grad_fn=<AddBackward0>)
54000 tensor(0.4042, device='cuda:0', grad_fn=<AddBackward0>)
55000 tensor(0.4283, device='cuda:0', grad_fn=<AddBackward0>)
56000 tensor(0.3832, device='cuda:0', grad_fn=<AddBackward0>)
57000 tensor(0.3478, device='cuda:0', grad_fn=<AddBackward0>)
58000 tensor(0.3237, device='cuda:0', grad_fn=<AddBackward0>)
59000 tensor(0.3203, device='cuda:0', grad_fn=<AddBackward0>)
60000 tensor(0.3071, device='cuda:0', grad_fn=<AddBackward0>)
61000 tensor(0.3326, device='cuda:0', grad_fn=<AddBackward0>)
62000 tensor(0.3279, device='cuda:0', grad_fn=<AddBackward0>)
63000 tensor(0.2884, device='cuda:0', grad_fn=<AddBackward0>)
64000 tensor(0.2788, device='cuda:0', grad_fn=<AddBackward0>)
65000 tensor(0.2866, device='cuda:0', grad_fn=<AddBackward0>)
66000 tensor(0.2757, device='cuda:0', grad_fn=<AddBackward0>)
67000 tensor(0.2632, device='cuda:0', grad_fn=<AddBackward0>)
68000 tensor(0.2503, device='cuda:0', grad_fn=<AddBackward0>)
69000 tensor(0.2535, device='cuda:0', grad_fn=<AddBackward0>)
70000 tensor(0.2365, device='cuda:0', grad_fn=<AddBackward0>)
71000 tensor(0.2461, device='cuda:0', grad_fn=<AddBackward0>)
72000 tensor(0.2364, device='cuda:0', grad_fn=<AddBackward0>)
73000 tensor(0.2184, device='cuda:0', grad_fn=<AddBackward0>)
74000 tensor(0.2164, device='cuda:0', grad_fn=<AddBackward0>)
75000 tensor(0.1977, device='cuda:0', grad_fn=<AddBackward0>)
76000 tensor(0.2172, device='cuda:0', grad_fn=<AddBackward0>)
77000 tensor(0.1826, device='cuda:0', grad_fn=<AddBackward0>)
78000 tensor(0.1760, device='cuda:0', grad_fn=<AddBackward0>)
79000 tensor(0.1852, device='cuda:0', grad_fn=<AddBackward0>)
80000 tensor(0.1778, device='cuda:0', grad_fn=<AddBackward0>)
81000 tensor(0.1651, device='cuda:0', grad_fn=<AddBackward0>)
82000 tensor(0.1550, device='cuda:0', grad_fn=<AddBackward0>)
83000 tensor(0.1450, device='cuda:0', grad_fn=<AddBackward0>)
84000 tensor(0.1427, device='cuda:0', grad_fn=<AddBackward0>)
